name,country,city,categories,review_count,rating,near_station
De Danú,FR,Toulouse,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]",84,4.0,00197 - CASERNE PERIGNON
La Dynamo,FR,Toulouse,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}]",31,4.5,00197 - CASERNE PERIGNON
Au Poêle de la Bête,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'pubs', 'title': 'Pubs'}]",18,4.5,00197 - CASERNE PERIGNON
L'Heure du Singe,FR,Toulouse,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",17,4.5,00197 - CASERNE PERIGNON
Puerto Habana,FR,Toulouse,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,3.5,00197 - CASERNE PERIGNON
Au Fut et à Mesure,FR,Toulouse,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",30,4.0,00197 - CASERNE PERIGNON
Le Seventies,FR,Toulouse,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",39,3.5,00197 - CASERNE PERIGNON
The Wild Rose,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",16,4.5,00197 - CASERNE PERIGNON
Le Delicatessen,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",34,4.0,00197 - CASERNE PERIGNON
Les Complices,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",11,4.5,00197 - CASERNE PERIGNON
Rest'O Jazz,FR,Toulouse,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'french', 'title': 'French'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",40,3.5,00197 - CASERNE PERIGNON
The Petit London,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",21,4.0,00197 - CASERNE PERIGNON
Le Pery,FR,Toulouse,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",41,3.5,00197 - CASERNE PERIGNON
Hugo Délices,FR,Toulouse,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",8,4.5,00197 - CASERNE PERIGNON
Les Tilleuls,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",15,3.5,00197 - CASERNE PERIGNON
Le Palacio de la Salsa,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'cuban', 'title': 'Cuban'}]",7,4.0,00197 - CASERNE PERIGNON
La Suite,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]",11,3.5,00197 - CASERNE PERIGNON
Le Commerce,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",11,3.5,00197 - CASERNE PERIGNON
1862 Arty Bar & Club,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]",14,3.5,00197 - CASERNE PERIGNON
La Mecanique des Fluides,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",10,4.0,00197 - CASERNE PERIGNON
De Danú,FR,Toulouse,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]",84,4.0,00213 - PUJOL - CHAUBET
La Dynamo,FR,Toulouse,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}]",31,4.5,00213 - PUJOL - CHAUBET
Puerto Habana,FR,Toulouse,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,3.5,00213 - PUJOL - CHAUBET
Le Seventies,FR,Toulouse,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",39,3.5,00213 - PUJOL - CHAUBET
Rest'O Jazz,FR,Toulouse,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'french', 'title': 'French'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",40,3.5,00213 - PUJOL - CHAUBET
Les Tilleuls,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",15,3.5,00213 - PUJOL - CHAUBET
